Name,Bridge Function,Between,Ethical Context,Resonance Score
Leonardo da Vinci,Art–Science Integrator,Intuition ⇄ Reason,Embodied harmony of invention and beauty; humanist yet served power,13
Mary Shelley,Mythic–Technologic,Creation ⇄ Responsibility,Forewarned industrial hubris through empathy,11
Mahatma Gandhi,Ethical Bridge,Violence ⇄ Peace,Taught non-violence amid conflict; flawed yet sincere,12
Carl Jung,Psychic Bridge,Science ⇄ Mysticism,Integrated myth with psychology; cultural bias noted,10
Alan Turing,Logic Bridge,Mechanism ⇄ Mind,Laid digital foundations; persecuted for identity,13
Rachel Carson,Ecological Bridge,Industry ⇄ Earth,Balanced rigor with wonder; inspired environmental ethics,12
John Coltrane,Sound Bridge,Structure ⇄ Spirit,Turned music into transcendence; personal demons transmuted,11
Jane Goodall,Empathic Science,Human ⇄ Animal,Opened ethical kinship between species,12
Buckminster Fuller,Design Bridge,Utility ⇄ Utopia,Holistic engineer; sometimes utopian excess,10
Frida Kahlo,Pain Bridge,Body ⇄ Identity,Transformed suffering into visual liberation,11
Nelson Mandela,Political Bridge,Revenge ⇄ Reconciliation,Modeled forgiveness through strength,13
Carl Sagan,Cosmic Bridge,Science ⇄ Wonder,Married skepticism with awe; secular mystic,12
Ada Lovelace,Computational Bridge,Mathematics ⇄ Imagination,First to glimpse art within code,13
